name,id,type_code,total_units,floors,top_month,top_year,tenure,district_code,postcode,streetname,ura_key,transaction_psf,nearest_mrt_distance,enbloc,enbloc_date
608 YISHUN STREET 61,12835,HDB,,0,,,L99,D27,760608,Yishun Street 61,Yishun Street 61,309.67391304348,0.44,0,
609 YISHUN STREET 61,12836,HDB,,0,,,L99,D27,760609,Yishun Street 61,Yishun Street 61,379.64882943144,0.52,0,
720 YISHUN STREET 71,12877,HDB,,0,,,L99,D27,760720,Yishun Street 71,Yishun Street 71,369.54617242661,0.79,0,
728 YISHUN STREET 71,12885,HDB,,0,,,L99,D27,760728,Yishun Street 71,Yishun Street 71,427.30026012634,0.62,0,
727 YISHUN STREET 71,12884,HDB,,0,,,L99,D27,760727,Yishun Street 71,Yishun Street 71,392.15440356745,0.6,0,
726 YISHUN STREET 71,12883,HDB,,0,,,L99,D27,760726,Yishun Street 71,Yishun Street 71,381.56261612783,0.58,0,
725 YISHUN STREET 71,12882,HDB,,0,,,L99,D27,760725,Yishun Street 71,Yishun Street 71,442.73782980305,0.57,0,
724 YISHUN STREET 71,12881,HDB,,0,,,L99,D27,760724,Yishun Street 71,Yishun Street 71,356.872909699,0.66,0,
723 YISHUN STREET 71,12880,HDB,,0,,,L99,D27,760723,Yishun Street 71,Yishun Street 71,387.09541062802,0.68,0,
722 YISHUN STREET 71,12879,HDB,,0,,,L99,D27,760722,Yishun Street 71,Yishun Street 71,439.83463396507,0.82,0,
721 YISHUN STREET 71,12878,HDB,,0,,,L99,D27,760721,Yishun Street 71,Yishun Street 71,370.71534745448,0.8,0,
729 YISHUN STREET 71,12886,HDB,,0,,,L99,D27,760729,Yishun Street 71,Yishun Street 71,404.78818283166,0.56,0,
719 YISHUN STREET 71,12876,HDB,,0,,,L99,D27,760719,Yishun Street 71,Yishun Street 71,344.46952805648,0.75,0,
718 YISHUN STREET 71,12875,HDB,,0,,,L99,D27,760718,Yishun Street 71,Yishun Street 71,400.36417688592,0.8,0,
717 YISHUN STREET 71,12874,HDB,,0,,,L99,D27,760717,Yishun Street 71,Yishun Street 71,464.51133407655,0.86,0,
716 YISHUN STREET 71,12873,HDB,,0,,,L99,D27,760716,Yishun Street 71,Yishun Street 71,447.09215904868,0.9,0,
715 YISHUN STREET 71,12872,HDB,,0,,,L99,D27,760715,Yishun Street 71,Yishun Street 71,389.30509104422,0.98,0,
714 YISHUN STREET 71,12871,HDB,,0,,,L99,D27,760714,Yishun Street 71,Yishun Street 71,399.18989223337,0.87,0,
713 YISHUN STREET 71,12870,HDB,,0,,,L99,D27,760713,Yishun Street 71,Yishun Street 71,364.97305834262,0.87,0,
712 YISHUN AVENUE 5,12514,HDB,,0,,,L99,D27,760712,Yishun Avenue 5,Yishun Avenue 5,411.55239687848,0.82,0,
730 YISHUN STREET 71,12887,HDB,,0,,,L99,D27,760730,Yishun Street 71,Yishun Street 71,427.3992010405,0.47,0,
731 YISHUN STREET 72,12888,HDB,,0,,,L99,D27,760731,Yishun Street 72,Yishun Street 72,433.16378669639,0.46,0,
732 YISHUN AVENUE 5,12515,HDB,,0,,,L99,D27,760732,Yishun Avenue 5,Yishun Avenue 5,326.65644741732,0.53,0,
733 YISHUN AVENUE 5,12516,HDB,,0,,,L99,D27,760733,Yishun Avenue 5,Yishun Avenue 5,364.69899665552,0.49,0,
734 YISHUN AVENUE 5,12517,HDB,,0,,,L99,D27,760734,Yishun Avenue 5,Yishun Avenue 5,464.51133407655,0.48,0,
735 YISHUN STREET 72,12889,HDB,,0,,,L99,D27,760735,Yishun Street 72,Yishun Street 72,475.6038647343,0.46,0,
736 YISHUN STREET 72,12890,HDB,,0,,,L99,D27,760736,Yishun Street 72,Yishun Street 72,454.11138981791,0.38,0,
737 YISHUN STREET 72,12891,HDB,,0,,,L99,D27,760737,Yishun Street 72,Yishun Street 72,455.83333333334,0.29,0,
738 YISHUN STREET 72,12892,HDB,,0,,,L99,D27,760738,Yishun Street 72,Yishun Street 72,434.90523968785,0.28,0,
739 YISHUN AVENUE 5,12518,HDB,,0,,,L99,D27,760739,Yishun Avenue 5,Yishun Avenue 5,463.124303233,0.32,0,
740 YISHUN AVENUE 5,12519,HDB,,0,,,L99,D27,760740,Yishun Avenue 5,Yishun Avenue 5,472.83073206986,0.32,0,
741 YISHUN AVENUE 5,12520,HDB,,0,,,L99,D27,760741,Yishun Avenue 5,Yishun Avenue 5,485.31029357116,0.22,0,
742 YISHUN AVENUE 5,12521,HDB,,0,,,L99,D27,760742,Yishun Avenue 5,Yishun Avenue 5,468.67149758454,0.21,0,
743 YISHUN AVENUE 5,12522,HDB,,0,,,L99,D27,760743,Yishun Avenue 5,Yishun Avenue 5,371.60906726124,0.17,0,
744 YISHUN STREET 72,12893,HDB,,0,,,L99,D27,760744,Yishun Street 72,Yishun Street 72,392.40802675585,0.13,0,
662 YISHUN AVENUE 4,12486,HDB,,0,,,L99,D27,760662,Yishun Avenue 4,Yishun Avenue 4,407.00018580453,0.9,0,
645 YISHUN STREET 61,12862,HDB,,0,,,L99,D27,760645,Yishun Street 61,Yishun Street 61,338.22277963582,0.76,0,
646 YISHUN STREET 61,12863,HDB,,0,,,L99,D27,760646,Yishun Street 61,Yishun Street 61,361.78279450019,0.73,0,
647 YISHUN STREET 61,12864,HDB,,0,,,L99,D27,760647,Yishun Street 61,Yishun Street 61,403.28037904125,0.7,0,
650 YISHUN AVENUE 4,12474,HDB,,0,,,L99,D27,760650,Yishun Avenue 4,Yishun Avenue 4,225.01,0.85,0,
651 YISHUN AVENUE 4,12475,HDB,,0,,,L99,D27,760651,Yishun Avenue 4,Yishun Avenue 4,405.18859160164,0.81,0,
652 YISHUN AVENUE 4,12476,HDB,,0,,,L99,D27,760652,Yishun Avenue 4,Yishun Avenue 4,365.66146413973,0.87,0,
653 YISHUN AVENUE 4,12477,HDB,,0,,,L99,D27,760653,Yishun Avenue 4,Yishun Avenue 4,409.12718320327,0.88,0,
654 YISHUN AVENUE 4,12478,HDB,,0,,,L99,D27,760654,Yishun Avenue 4,Yishun Avenue 4,396.53381642512,0.94,0,
655 YISHUN AVENUE 4,12479,HDB,,0,,,L99,D27,760655,Yishun Avenue 4,Yishun Avenue 4,384.11557041992,0.89,0,
656 YISHUN AVENUE 4,12480,HDB,,0,,,L99,D27,760656,Yishun Avenue 4,Yishun Avenue 4,176.71,0.84,0,
657 YISHUN AVENUE 4,12481,HDB,,0,,,L99,D27,760657,Yishun Avenue 4,Yishun Avenue 4,391.57190635452,0.9,0,
658 YISHUN AVENUE 4,12482,HDB,,0,,,L99,D27,760658,Yishun Avenue 4,Yishun Avenue 4,411.90356744705,0.89,0,
659 YISHUN AVENUE 4,12483,HDB,,0,,,L99,D27,760659,Yishun Avenue 4,Yishun Avenue 4,345.88257153475,0.82,0,
660 YISHUN AVENUE 4,12484,HDB,,0,,,L99,D27,760660,Yishun Avenue 4,Yishun Avenue 4,393.94091415831,0.88,0,
661 YISHUN AVENUE 4,12485,HDB,,0,,,L99,D27,760661,Yishun Avenue 4,Yishun Avenue 4,385.20438498699,1.01,0,
403 YISHUN AVENUE 6,12547,HDB,,0,,,L99,D27,760403,Yishun Avenue 6,Yishun Avenue 6,359.99628390933,1.53,0,
663 YISHUN AVENUE 4,12487,HDB,,0,,,L99,D27,760663,Yishun Avenue 4,Yishun Avenue 4,394.01477146042,0.8,0,
664 YISHUN AVENUE 4,12488,HDB,,0,,,L99,D27,760664,Yishun Avenue 4,Yishun Avenue 4,392.56874767744,0.97,0,
665 YISHUN AVENUE 4,12489,HDB,,0,,,L99,D27,760665,Yishun Avenue 4,Yishun Avenue 4,313.09643255295,0.87,0,
666 YISHUN AVENUE 4,12490,HDB,,0,,,L99,D27,760666,Yishun Avenue 4,Yishun Avenue 4,388.60367892977,0.84,0,
701 YISHUN AVENUE 5,12503,HDB,,0,,,L99,D27,760701,Yishun Avenue 5,Yishun Avenue 5,430.3558156819,0.68,0,
702 YISHUN AVENUE 5,12504,HDB,,0,,,L99,D27,760702,Yishun Avenue 5,Yishun Avenue 5,419.07004830918,0.63,0,
703 YISHUN AVENUE 5,12505,HDB,,0,,,L99,D27,760703,Yishun Avenue 5,Yishun Avenue 5,386.59327387588,0.67,0,
704 YISHUN AVENUE 5,12506,HDB,,0,,,L99,D27,760704,Yishun Avenue 5,Yishun Avenue 5,444.01802303976,0.71,0,
705 YISHUN AVENUE 5,12507,HDB,,0,,,L99,D27,760705,Yishun Avenue 5,Yishun Avenue 5,393.82478632479,0.63,0,
706 YISHUN AVENUE 5,12508,HDB,,0,,,L99,D27,760706,Yishun Avenue 5,Yishun Avenue 5,437.18691936083,0.71,0,
