name,id,type_code,total_units,floors,top_month,top_year,tenure,district_code,postcode,streetname,ura_key,transaction_psf,nearest_mrt_distance,enbloc,enbloc_date
DERBY COURT,1868,CONDO,22,0,12,1979,F,D11,309461,Derbyshire Road,DERBY COURT,788,0.49,1,2017-12-13
DUSUN GROVE,1885,CONDO,12,0,12,1986,F,D12,329371,Jalan Dusun,DUSUN GROVE,394,0,1,2010-01-19
BALESTIER COURT,1768,CONDO,16,0,1,1986,F,D12,329191,Jalan Raja Udang,BALESTIER COURT,390,0,1,2007-03-02
HJ HEIGHTS,2217,CONDO,76,5,12,1989,F,D21,597667,Merbok Crescent,HJ HEIGHTS,350,0,1,2006-08-14
ANGULLIA VIEW,1755,APT,24,0,1,1987,F,D09,239975,Augullia Park,ANGULLIA VIEW,800,0,1,2000-03-15
NORTHERN MANSIONS,20987,APT,0,0,,,F,D08,219065,Mergui Road,NORTHERN MANSIONS,,0.65,1,2007-11-20
SHUNFU VILLE,20542,EXCON,0,0,,,L99,D20,570314,Shunfu Road,SHUNFU VILLE,,0.37,1,2016-05-19
SAM LEONG MANSION,2387,APT,0,0,12,1978,F,D08,207899,Sam Leong Road,SAM LEONG MANSION,246,0.5,1,2012-08-27
WESTWOOD APARTMENTS,604,APT,48,0,12,1972,F,D10,248644,Orchard Boulevard,WESTWOOD APARTMENTS,1837,0.88,1,2007-11-22
REGENT COURT,2325,CONDO,49,0,1,1984,F,D12,328190,Serangoon Road,REGENT COURT,1074,0,1,2007-04-03
SIMON COURT,926,TERRA,0,0,12,1970,F,D19,545000,Simon Place,SIMON COURT,514,0,1,2007-06-05
HOW SUN PARK,2039,TERRA,0,0,12,1982,F,D19,538000,How Sun Avenue,HOW SUN PARK,,0.23,1,2017-11-28
CHANCERY GARDEN,1727,CONDO,10,0,12,1996,F,D11,309655,Chancery Hill Road,CHANCERY GARDEN,1170,0.81,1,2013-06-24
MOUNT EMILY TOWER,2220,APT,0,0,12,1977,F,D09,228068,Wilkie Road,MOUNT EMILY TOWER,427,0,1,2006-12-28
GREEN MEADOWS,20923,CONDO,200,0,12,1981,F,D26,787768,Tagore Avenue,GREEN MEADOWS,,1.9,1,2007-03-12
ENG LOK MANSION,190,APT,252,0,12,1980,F,D10,258501,Napier Road,ENG LOK MANSION,1460.1587301587,0,1,2006-03-02
CASA CONTENDERE,1698,CONDO,11,0,12,1986,F,D11,309079,Gilstead Road,"",,0.65,1,2017-11-07
VILLA MARGAUX,2518,APT,31,5,11,1995,F,D10,258712,Keng Chin Road,VILLA MARGAUX,653,0.42,1,2006-09-15
NIM PARK,2249,CONDO,56,4,1,1983,F,D28,807545,Nim Road,NIM PARK,377,0,1,2007-05-26
LINCOLN LODGE,20959,CONDO,98,0,12,1989,F,D11,308380,Khiang Guan Avenue,LINCOLN LODGE,,0.39,1,2007-06-20
AURA PARK,57,APT,28,0,1,1987,F,D10,258859,Holland Road,AURA PARK,1514,0,1,2007-06-20
KOVAN COURT,1353,APT,16,4,1,1981,F,D19,548086,Kovan Road,KOVAN COURT,543,0.62,1,2007-11-27
KOVAN COURT,1353,APT,16,4,1,1981,F,D19,548086,Kovan Road,KOVAN COURT,543,0.62,1,2012-04-13
DRAGON MANSION,1874,CONDO,,,,,F,D02,088641,Spottiswoode Park Road,DRAGON MANSION,582,0,1,2011-11-17
DRAGON MANSION,1874,CONDO,,,,,F,D02,088641,Spottiswoode Park Road,DRAGON MANSION,582,0,1,2009-10-19
PHOENIX COURT,2299,APT,0,0,12,1974,F,D09,238139,Saint Thomas Walk,PHOENIX COURT,933,0,1,2006-10-27
GILLMAN HEIGHTS,2028,CONDO,0,0,,,L99,D04,100001,Gillman Heights,GILLMAN HEIGHTS,270,0,1,2007-02-05
ANGULLIA HEIGHTS,1753,APT,0,0,12,1989,F,D09,239972,Angullia Park,ANGULLIA HEIGHTS,1227,0.33,1,2004-11-16
MAYER MANSION,992,APT,0,0,12,1970,F,D09,239855,Devonshire Road,MAYER MANSION,1545.4,0,1,2006-12-12
MAYER MANSION,992,APT,0,0,12,1970,F,D09,239855,Devonshire Road,MAYER MANSION,1545.4,0,1,2007-06-06
THONG SIA BUILDING,935,APT,37,0,12,1990,F,D09,229922,Bideford Road,THONG SIA BUILDING,1701,0.48,1,2015-07-28
THONG SIA BUILDING,935,APT,37,0,12,1990,F,D09,229922,Bideford Road,THONG SIA BUILDING,1701,0.48,1,2015-07-28
SOPHIA MANSION,21047,APT,19,0,12,1992,F,D09,229977,Adis Road,SOPHIA MANSION,,0.35,1,2012-07-16
AIRVIEW TOWERS,28,APT,96,0,1,1980,F,D09,238097,St Thomas Walk,AIRVIEW TOWERS,692.5,0.52,1,2007-03-30
FAR EAST MANSION,72,APT,0,0,12,1980,F,D09,239325,Kim Yam Road,FAR EAST MANSION,933.17889908257,0,1,2006-07-04
BRADDELL PARK,1263,CONDO,45,0,12,1983,F,D13,359137,Jalan lateh,BRADDELL PARK,795,0.51,1,2011-06-20
SUMMER APARTMENTS,2575,APT,0,0,5,1994,F,D09,238374,River Valley Road,SUMMER APARTMENTS,787,0,1,2007-06-12
PERMAI COURT,2316,CONDO,0,0,,,F,D04,099455,Kampong Bahru Road,PERMAI COURT,,1.01,1,2011-09-22
LAUREL PARK,2123,CORN,32,0,12,1985,F,D19,556782,Lorong Chuan,LAUREL PARK,410,0,1,2007-04-17
TONG WATT MANSION,760,APT,0,0,12,1970,F,D09,238011,Tong Watt Road,TONG WATT MANSION,1629.2857142857,0,1,2007-06-08
SOPHIA APARTMENTS,644,APT,0,5,12,1995,F,D09,229975,Adis Road,SOPHIA APARTMENTS,846.8,0,1,2006-08-03
HILL COURT,888,APT,0,0,12,1970,F,D09,229658,Cairnhill Road,HILL COURT,1038,0,1,2007-03-22
BOON TECK HEIGHTS,1802,CONDO,32,19,1,1987,F,D12,329602,Boon Teck Road,BOON TECK HEIGHTS,431,0,1,2006-04-25
GREEN LODGE,846,CONDO,80,0,12,1984,F,D21,596683,Toh Tuck Road,GREEN LODGE,800,0.72,1,2012-09-13
TANGLIN HOUSE,20251,OFF,0,0,,,"",D10,257940,Stevens Close,TANGLIN HOUSE,1049.3333333333,0,1,2006-11-02
GOODLUCK VIEW,1968,CONDO,48,0,12,1984,F,D21,596720,Toh Tuck Road,GOODLUCK VIEW,365,0,1,2007-06-14
MOUNT SOPHIA APARTMENTS,2223,APT,0,0,12,1980,F,D09,228163,Sophia Road,MOUNT SOPHIA APARTMENTS,521,0,1,2007-02-13
SELETAR GARDEN,2401,TERRA,0,0,,,F,D28,809000,Cactus Road,SELETAR GARDEN,799,1.33,1,2012-03-07
DE ANGELO,1864,CONDO,50,13,1,1989,F,D12,329417,Jalan Datoh,DE ANGELO,376,0.73,1,2007-05-30
HOLLAND CREST,218,CONDO,41,5,12,1990,F,D10,278736,Holland Hill,HOLLAND CREST,1105.0243902439,0,1,2007-03-15
AMBER APARTMENTS,1656,APT,8,0,7,1993,F,D15,439866,Amber Road,AMBER APARTMENTS,726,0,1,2007-02-09
DRAGON VIEW PARK,20878,CONDO,0,0,,,F,D10,249209,Jalan Mutiara,DRAGON VIEW PARK,1666,0.96,1,2005-10-27
SEMBAWANG HILLS ESTATE,192,TERRA,1063,0,,,F,D20,570000,Sembawang Hills Drive,SEMBAWANG HILLS ESTATE,1299,2.12,1,2017-10-10
PENDER COURT,2294,CONDO,48,6,12,1985,F,D04,098729,Wishart Road,PENDER COURT,631,0.46,1,2010-06-11
PENDER COURT,2294,CONDO,48,6,12,1985,F,D04,098729,Wishart Road,PENDER COURT,631,0.46,1,2007-07-03
MAISON ROYALE,2165,APT,20,0,1,1990,F,D11,307740,Surrey Road,MAISON ROYALE,809,0,1,2010-12-07
PEONY MANSION,21009,APT,0,0,12,1978,L999,D07,189624,Bencoolen Street,PEONY MANSION,,0.2,1,2008-05-02
ST MARTIN'S LODGE,21051,CONDO,0,0,,,F,D10,257998,St Martin's Drive,ST MARTIN'S LODGE,,0.99,1,2006-08-23
MUTUAL COURT,2226,APT,0,0,,,L999,D12,328689,Mar Thoma Road,MUTUAL COURT,395,0,1,2007-05-29
MAR THOMA MANSIONS,2174,APT,0,0,12,1995,L999,D12,328716,Mar Thoma Road,MAR THOMA MANSIONS,472,0.71,1,2012-07-13
OLIVIO,246,APT,36,0,12,2002,F,D11,307761,Surrey Road,OLIVIO,907.54545454545,0,1,2006-09-22
FAIRWAYS,877,CONDO,108,0,12,1984,F,D04,109025,Telok Blangah Road,FAIRWAYS,995,0,1,2007-05-16
HILL PARK,2016,APT,26,0,12,1978,F,D11,299274,Jalan Bahasa,HILL PARK,557,0.7,1,2007-11-21
CHUAN HOE MANSION,2112,APT,0,0,12,1987,L999,D19,549848,Chuan Hoe Avenue,CHUAN HOE MANSION,376,0,1,2007-08-14
CHUAN HOE MANSION,2112,APT,0,0,12,1987,L999,D19,549848,Chuan Hoe Avenue,CHUAN HOE MANSION,376,0,1,2007-05-08
HOLLAND HILL MANSION,726,CONDO,117,6,12,1985,F,D10,278733,Holland Hill,HOLLAND HILL MANSION,844,0,1,2006-11-28
SUFFOLK APARTMENT,2178,APT,24,10,12,1990,F,D11,307782,Suffolk Road,SUFFOLK APARTMENT,584,0.65,1,2006-12-08
NEWTON HEIGHTS,2240,APT,30,0,12,1980,F,D11,307943,Newton Road,NEWTON HEIGHTS,997.86666666667,0,1,2005-02-18
CENTURY VILLE,1723,CONDO,0,0,6,1985,F,D10,258707,Keng Chin Road,CENTURY VILLE,680,0.48,1,2006-09-15
YANG'S GARDEN VILLAGE,1609,CONDO,45,0,4,1985,F,D10,277116,Mount Sinai Drive,YANG'S GARDEN VILLAGE,431,0,1,2004-04-20
HAIG GARDENS,193,APT,54,0,12,1980,F,D15,438637,Ipoh Lane,HAIG GARDENS,623.14814814815,0,1,2006-09-11
WESTERN GROVE,757,CONDO,18,0,12,1984,F,D05,118618,Pasir Panjang Road,WESTERN GROVE,598.27777777778,0.2,1,2007-04-28
WESTERN GROVE,757,CONDO,18,0,12,1984,F,D05,118618,Pasir Panjang Road,WESTERN GROVE,598.27777777778,0.2,1,2009-02-18
CRYSTAL TOWER,1849,CONDO,0,0,11,1982,F,D10,259335,Ewe Boon Road,CRYSTAL TOWER,1042,0.36,1,2017-11-29
ST THOMAS LODGE,21053,CONDO,0,0,1,2010,F,D09,238112,St Thomas Walk,ST THOMAS LODGE,2153,0.4,1,2011-04-06
NEWTON MEADOWS,2245,CONDO,28,0,12,1983,F,D11,307955,Newton Road,NEWTON MEADOWS,967,0,1,2006-05-04
BARTLEY COURT,2667,APT,8,4,12,1989,F,D19,539763,Bartley Road,"",,0,1,2012-08-08
BARTLEY GROVE,1445,APT,26,0,1,1986,F,D19,539700,Bartley Road,BARTLEY GROVE,451,0,1,2012-03-31
BO BO TAN GARDENS,1798,CONDO,0,0,12,1995,F,D03,169902,Chay Yan St,BO BO TAN GARDENS,533,0.62,1,2005-06-02
THE MERGUI,2501,CONDO,0,0,12,1988,F,D08,218468,Rangoon Road,THE MERGUI,322,0.68,1,2007-11-20
PIN TJOE COURT,2303,APT,34,0,12,1985,F,D10,259954,Ardmore Park,PIN TJOE COURT,2067,0,1,2006-09-21
ANDERSON 18,42,APT,71,0,1,2000,F,D10,259977,Anderson Road,ANDERSON 18,1224,0,1,2007-03-03
EMERALD MANSIONS,1909,CONDO,0,0,,,F,D09,229388,Emerald Hill Road,EMERALD MANSIONS,2015,0,1,2006-10-18
EMERALD MANSIONS,1909,CONDO,0,0,,,F,D09,229388,Emerald Hill Road,EMERALD MANSIONS,2015,0,1,2007-11-05
THE ALBANY,2481,CONDO,47,0,12,1992,F,D11,298130,Thomson Road,THE ALBANY,407,0,1,2007-02-06
SOPHIA FLATS,20746,WALK,19,0,,,F,D09,228051,Wilkie Road,SOPHIA FLATS,189,0.45,1,2003-11-27
HORIZON VIEW,2038,APT,36,0,12,1984,F,D09,229670,Cairnhill Road,HORIZON VIEW,1193,0.55,1,2006-10-20
CONCORDE RESIDENCES,1837,CONDO,38,0,9,1998,F,D11,298127,Thomson Road,CONCORDE RESIDENCES,434,0,1,2007-02-15
RIVERIA VIEW,2348,CONDO,0,0,2,1988,F,D09,238404,River Valley Grove,RIVERIA VIEW,860,0.44,1,2005-08-04
WHITLEY HEIGHTS,1545,CONDO,42,0,12,1987,F,D11,297807,Whitley Road,WHITLEY HEIGHTS,1058,0.94,1,2011-08-08
WELKIN MANSION,1634,CONDO,0,0,12,1977,F,D09,238434,River Valley Close,WELKIN MANSION,950,0.73,1,2007-12-14
DUNEARN COURT,1883,CONDO,12,0,12,1993,F,D11,289603,Dunearn Road,DUNEARN COURT,1089,0.46,1,2017-10-23
SIGLAP COURT,987,APT,12,0,12,1970,F,D15,455839,Siglap Road,SIGLAP COURT,835.66666666667,1.68,1,2007-06-12
MARYLAND PARK,2186,APT,216,0,12,1982,F,D15,439962,Amber Gardens,MARYLAND PARK,671,1.39,1,2005-03-30
SHELFORD COURT,21036,CONDO,18,0,12,1991,F,D11,288413,Shelford,SHELFORD COURT,,0.67,1,2007-05-22
GLENVILLE,20913,WALK,0,0,,,F,D19,547734,Lim Tua Tow Road,GLENVILLE,,0.63,1,2010-10-06
ONE TREE HILL GARDENS,2260,CONDO,0,0,12,1988,F,D10,248677,One Tree Hill,ONE TREE HILL GARDENS,594,0.84,1,2017-05-05
JERVOIS GREEN,2189,CONDO,0,0,1,2010,F,D10,249057,Jervois Road,-,,0.59,1,2017-12-06
FLAMINGO VALLEY,1931,CONDO,393,5,4,2015,F,D15,455939,Siglap Road,FLAMINGO VALLEY,1332,1.02,1,2007-02-01
EASTERN WAY MANSIONS,1003,APT,0,0,12,1970,F,D19,536084,Paya Lebar Crescent,EASTERN WAY MANSIONS,539,0.83,1,2007-05-09
HUA COURT,2041,APT,0,0,1,1988,F,D19,536139,Paya Lebar Crescent,HUA COURT,601,0.86,1,2013-02-13
THE CHERRYWOOD,2489,APT,0,0,12,1986,F,D15,425555,Lorong L Telok Kurau,THE CHERRYWOOD,1147.25,1,1,2007-07-30
PELIKAT MANSIONS,21008,APT,0,0,,,F,D19,537639,Jalan Pelikat,PELIKAT MANSIONS,710,0.64,1,2011-05-06
PELIKAT COURT,2567,APT,0,0,12,1984,F,D19,537652,Jalan Pelikat,PELIKAT COURT,488,0,1,2007-03-01
PARKWAY VIEW,2279,CONDO,26,15,1,1992,F,D15,449265,Marine Parade Road,PARKWAY VIEW,1030,1.86,1,2011-12-16
RICHARDS MANSIONS,20693,APT,0,0,1,1992,F,D19,546430,Richards Avenue,RICHARDS MANSIONS,848,0.46,1,2010-10-20
EAST SHORE COURT,1891,APT,0,0,1,1992,F,D15,425310,Lorong M Telok Kurau,EAST SHORE COURT,1069.25,0,1,2011-04-25
SHERIDAN COURT,2570,APT,0,0,,,F,D15,425230,Lorong N Telok Kurau,SHERIDAN COURT,378,1.26,1,2007-03-02
OCEAN APARTMENTS,2254,APT,0,0,12,1970,F,D15,425206,Lorong N Telok Kurau,OCEAN APARTMENTS,1181,1.22,1,2011-01-20
KISMIS LODGE,2092,APT,0,0,,,F,D21,598033,Lorong Kismis,KISMIS LODGE,482,0.95,1,2013-03-23
KIM WEE MANSION,20951,APT,0,0,,,F,D15,424894,Marshall Road,KIM WEE MANSION,,1.37,1,2010-01-04
MINTON COURT,20978,APT,0,0,12,1992,F,D19,536046,Paya Lebar Crescent,MINTON COURT,,0.82,1,2013-06-20
RAMBUTAN MANSIONS,1131,APT,0,0,12,1994,F,D15,424292,Rambutan Road,RAMBUTAN MANSIONS,575,0,1,2007-04-30
STILLINGIA COURT,899,APT,0,0,12,1970,F,D15,423957,Still Road,STILLINGIA COURT,995.5,1.27,1,2007-06-21
RIO CASA,22382,CONDO,286,0,12,1986,L99,D19,530344,Hougang Avenue 7,RIO CASA,,0.84,1,2017-05-24
KENG YEE GARDEN,2085,APT,0,4,12,1977,F,D14,419822,Lorong G Telok Kurau,KENG YEE GARDEN,632,0.42,1,2007-01-08
EAST COAST VILLE,1889,CONDO,60,5,12,1984,F,D16,466452,Upper East Coast Road,EAST COAST VILLE,476.5,0,1,2006-12-28
SINGA COURT,2426,APT,0,0,12,1985,F,D14,418108,Jalan Singa,SINGA COURT,778,1.17,1,2013-08-06
LENGKONG COURT,20957,APT,0,0,12,1981,F,D14,417645,Lengkong Empat,LENGKONG COURT,851.25,0.87,1,2011-04-08
CASA NASSAU,1704,CONDO,28,0,12,1992,F,D16,466480,Upper East Coast Road,CASA NASSAU,530,1.5,1,2007-07-27
HONG LEONG GARDEN SHOPPING CENTRE,19582,SHOP,0,0,,,"",D05,127046,West Coast Way,HONG LEONG GARDEN SHOPPING CENTRE,753,0.93,1,2011-09-19
PEBBLE GARDENS,2291,APT,0,0,1,1987,F,D14,399830,Guillemard Road,PEBBLE GARDENS,634.3,0.48,1,2007-01-11
ALDEA BLANCA,482,CONDO,16,0,12,1970,F,D16,466515,Upper East Coast Road,ALDEA BLANCA,696.5,0,1,2007-01-12
PEILY COURT,2293,APT,0,0,1,1985,F,D15,425765,Lorong K Telok Kurau,PEILY COURT,607,0.85,1,2007-06-27
EUNOSVILLE,20892,CONDO,330,0,12,1987,L99,D14,400828,Sims Avenue,EUNOSVILLE,733,0.26,1,2017-05-31
EAST COAST MANSIONS,835,APT,0,0,12,1970,F,D15,429085,East Coast Road,EAST COAST MANSIONS,682.75,1.27,1,2007-05-23
MELLOW MANSIONS,2192,APT,0,0,12,1987,F,D15,429021,East Coast Road,MELLOW MANSIONS,1046,0,1,2010-09-09
MERLIN MANSION,2199,APT,0,0,,,F,D15,428940,East Coast Road,MERLIN MANSION,552,1.28,1,2007-07-12
GRACIOUS MANSIONS,670,APT,0,0,12,1970,F,D15,428354,Jalan Rendang,GRACIOUS MANSIONS,632,1.59,1,2005-10-17
JOO CHIAT LODGE,1446,APT,0,0,1,1986,F,D15,428104,Joo Chiat Lane,JOO CHIAT LODGE,828,0,1,2007-12-04
GLENFIELD APARTMENTS,1961,APT,0,0,1,1991,F,D15,427972,Joo Chiat Place,GLENFIELD APARTMENTS,1023.6428571429,0.75,1,2010-02-18
JOYFUL MANSIONS,20942,APT,0,0,12,1992,F,D15,438867,Haig Avenue,JOYFUL MANSIONS,,1.3,1,2007-09-24
SUNNYVALE APARTMENTS,2446,APT,0,0,12,1995,F,D15,425773,Lorong K Telok Kurau,SUNNYVALE APARTMENTS,,0.89,1,2013-06-01
THONG SIA BUILDING,20349,OFF,0,0,,,NA,D09,229922,Bideford Rd,"",,0.48,1,2015-07-28
THONG SIA BUILDING,20349,OFF,0,0,,,NA,D09,229922,Bideford Rd,"",,0.48,1,2015-07-28
PADDY GREEN,20997,APT,0,0,12,1998,F,D14,398982,Lorong 12 Geylang,PADDY GREEN,638,0.7,1,2012-03-02
LODGE 77,2563,APT,0,0,,,F,D15,455218,Upper East Coast Road,LODGE 77,,1.22,1,2017-10-27
YI LI APARTMENT,989,APT,0,0,12,1970,F,D15,455615,Tay Lian Teck Road,YI LI APARTMENT,741.41666666667,0,1,2007-07-26
AUSTRAL VIEW,1740,CONDO,12,0,1,1983,F,D15,436883,Tanjong Rhu Road,AUSTRAL VIEW,636,0.87,1,2011-05-19
PINE VIEW,573,APT,0,3,12,1970,F,D15,425710,Lorong K Telok Kurau,PINE VIEW,566.5,0,1,2007-03-27
NAM PENG CENTRE,19846,OFF,0,0,,,NA,D19,534635,Upper Serangoon Road,"",,0.87,1,2012-06-13
NAM PENG CENTRE,19846,OFF,0,0,,,NA,D19,534635,Upper Serangoon Road,"",,0.87,1,2012-06-13
TELOK VILLE,2476,APT,0,0,,,F,D15,425690,Lorong K Telok Kurau,TELOK VILLE,870,0.9,1,2011-02-18
NAM PENG CENTRE,2228,APT,0,0,12,1997,F,D19,534635,Upper Serangoon Road,NAM PENG CENTRE,1013,0,1,2012-06-13
NAM PENG CENTRE,2228,APT,0,0,12,1997,F,D19,534635,Upper Serangoon Road,NAM PENG CENTRE,1013,0,1,2012-06-13
GRANGEFORD APARTMENT,313,CONDO,192,0,12,1981,L99,D09,239196,Leonie Hill Road,GRANGEFORD APARTMENT,1653,0,1,2007-08-03
HORIZON TOWERS,304,CONDO,210,0,12,1984,L99,D09,239194,Leonie Hill Road,HORIZON TOWER,1123,0.73,1,2007-02-12
HAMPTON COURT,1369,APT,0,0,12,1990,F,D10,259386,Draycott park,HAMPTON COURT,,0.65,1,2012-12-18
LENGKONG GARDEN,2135,CONDO,58,11,12,1984,F,D14,417454,Lengkong Tiga,LENGKONG GARDEN,708,0,1,2002-04-08
XIU LAN COURT,21105,APT,0,0,,,F,D11,308174,Minbu Road,XIU LAN COURT,,0.74,1,2007-05-23
ESSEN APARTMENTS,20888,APT,0,0,12,1985,F,D11,308092,Moulmein Road,ESSEN APARTMENTS,,0.36,1,2007-04-12
NEWTON VIEW,2247,APT,0,0,1,1982,F,D11,307957,Newton Road,NEWTON VIEW,924,0.54,1,2011-03-16
SURREY TOWER,2452,APT,0,0,12,1978,F,D11,307750,Surrey Road,SURREY TOWER,1084,0,1,2007-01-11
STAR MANSIONS,812,APT,0,0,12,1970,F,D11,307741,Surrey Road,STAR MANSIONS,1219,0.48,1,2007-05-15
NOVENA VILLE,1438,APT,0,0,1,1975,F,D11,307645,Thomson Road,NOVENA VILLE,918.5,0,1,2012-05-24
MERGUI LODGE,2197,APT,12,0,1,2005,F,D08,219057,Mergui Road,MERGUI LODGE,547,0,1,2007-11-20
MERGUI COURT,2196,APT,23,9,12,1989,F,D08,219059,Mergui Road,MERGUI COURT,430,0.63,1,2007-11-20
SHELFORD VALE,21038,APT,0,0,,,F,D11,288407,Shelford Road,SHELFORD VALE,,0.59,1,2007-04-05
HENRY PARK,839,APT,0,0,12,1970,F,D10,276836,Mount Sinai Road,HENRY PARK,1421,0.81,1,2011-12-07
LEWIS COURT,2139,APT,0,0,,,F,D10,259746,Bukit Timah Road,LEWIS COURT,388,0.66,1,2007-02-14
KAI SHENG COURT,2075,APT,0,4,12,1987,F,D12,328699,Mar Thoma Court,KAI SHENG COURT,321,0,1,2007-04-30
GOODRICH PARK,1969,CONDO,52,0,12,1982,F,D19,546018,Simon Lane,GOODRICH PARK,557,0,1,2010-07-09
VENUS MANSION,2545,APT,41,22,11,1975,F,D09,228314,Peck Hay Road,VENUS MANSION,696,0,1,2006-04-10
THE ESQUIRE,323,APT,30,0,12,1989,F,D09,228513,Mount Elizabeth,THE ESQUIRE,1625,0,1,2006-02-10
SARKIES COURT,917,APT,0,0,12,1970,F,D10,258125,Sarkies Road,SARKIES COURT,1000,0,1,2007-06-28
CURZON LODGE,1851,APT,20,11,12,1983,F,D09,228867,Kampong Java Road,CURZON LODGE,418,0,1,2007-02-12
CURZON LODGE,1851,APT,20,11,12,1983,F,D09,228867,Kampong Java Road,CURZON LODGE,418,0,1,2007-01-23
ROSE GARDEN,2366,APT,0,0,1,1966,F,D10,248245,Rochalie Drive,ROSE GARDEN,579,1.24,1,2006-08-17
LE CHATEAU,841,APT,35,5,12,1987,F,D09,229621,Cavenagh Road,LE CHATEAU,1008,0.54,1,2006-08-30
SHANGHAI LODGE,2411,APT,0,0,12,1994,F,D10,248201,Shanghai Road,SHANGHAI LODGE,617,0,1,2006-09-12
SILVER TOWER,2421,APT,38,0,12,1986,F,D09,229657,Cairnhill Road,SILVER TOWER,1598,0,1,2006-09-28
JASMINE COURT,1598,CONDO,24,5,8,1985,F,D20,574409,Upper Thomson Road,JASMINE COURT,304,0,1,2011-12-06
HARBOURSIDE APARTMENTS,1236,APT,16,0,1,1997,F,D04,099454,Kampong Bahru Road,HARBOURSIDE APARTMENTS,1083.5625,0,1,2010-04-08
PALACE MANSIONS,2265,APT,0,0,12,1987,F,D14,398483,Lorong 26 Geylang,PALACE MANSIONS,244,0,1,2010-08-04
WINFIELD MANSION,21102,APT,0,0,12,1982,F,D14,398482,Lorong 26 Geylang,WINFIELD MANSION,,0.5,1,2007-09-28
CITIPORT CENTRE,19295,OFF,0,0,,,F,D04,098828,Telok Blangah Road,CITIPORT CENTRE,340,0.34,1,2007-05-21
CAMAY COURT,1684,CONDO,23,0,12,1985,F,D15,425364,Lorong M Telok Kurau,CAMAY COURT,611,1.06,1,2011-03-09
ENG CHEONG TOWER,19391,OFF,0,0,,,F,D07,198782,North Bridge Road,ENG CHEONG TOWER,433.75510204082,0.21,1,2005-01-07
CARDIFF COURT,1718,CONDO,21,0,4,1987,L99,D19,558961,Cardiff Grove,CARDIFF COURT,445,0,1,2007-07-31
CARDIFF COURT,1718,CONDO,21,0,4,1987,L99,D19,558961,Cardiff Grove,CARDIFF COURT,445,0,1,2010-11-18
PEOPLE'S MANSION,2296,APT,0,0,12,1971,F,D14,388022,Lorong 31 Geylang,PEOPLE'S MANSION,521,0.46,1,2010-07-02
OAKSWOOD HEIGHTS,20990,APT,84,0,12,1991,F,D02,088643,Spottiswoode Park Road,OAKSWOOD HEIGHTS,,0.72,1,2007-06-06
DAISY APARTMENTS,1860,APT,0,0,1,1994,F,D13,359452,Daisy Road,DAISY APARTMENTS,1108,0.57,1,2011-08-04
APARTMENT 8,1756,APT,0,0,6,1995,F,D13,358461,Meyappa Chettiar Road,APARTMENT 8,843,0.24,1,2017-12-11
MENG GARDEN,20975,APT,,,,,F,D09,239114,Lloyd Road,MENG GARDEN,,0.32,1,2010-07-07
WOODLEIGH GROVE,21104,APT,0,0,12,1981,F,D13,357906,Woodleigh Close,WOODLEIGH GROVE,,0.47,1,2005-07-04
ST PATRICK'S VIEW,2364,CONDO,40,0,12,1984,F,D15,424169,Saint Patrick's Road,ST PATRICK'S VIEW,483,0,1,2007-07-16
HANG TAT GARDEN,20929,APT,0,0,,,F,D12,329778,Balestier Road,HANG TAT GARDEN,,0.97,1,2007-09-04
HANG TAT GARDEN,20929,APT,0,0,,,F,D12,329778,Balestier Road,HANG TAT GARDEN,,0.97,1,2009-04-09
WALDORF MANSIONS,1748,APT,0,0,1,1991,F,D12,329699,Balestier Road,WALDORF MANSIONS,635,0,1,2010-11-24
BOON TECK VIEW,20837,APT,0,0,12,1991,F,D12,329583,Boon Teck Road,BOON TECK VIEW,,0.7,1,2011-07-05
FABER HILLS,1122,APT,96,4,12,1970,F,D05,129425,Faber Drive,FABER HILLS,1200,1.16,1,2004-04-14
LOCK CHO APARTMENT,2148,APT,0,0,,,F,D12,329194,Jalan Raja Udang,LOCK CHO APARTMENT,300,0,1,2006-03-30
FORTUNA COURT,527,APT,0,0,12,1970,F,D12,329147,Jalan Rajah,FORTUNA COURT,512,0.49,1,2006-11-03
RAJAH MAISONETTE,792,APT,0,0,12,1970,F,D12,329139,Jalan Rajah,RAJAH MAISONETTE,530.3,0.53,1,2007-04-24
PROSPERITY MANSION,408,APT,0,0,12,1970,F,D12,328717,Mar Thoma Road,PROSPERITY MANSION,520,0,1,2006-04-19
ARANG COURT,1757,APT,48,0,1,1985,F,D13,359968,Arang Drive,ARANG COURT,1225,0,1,1999-12-01
CHONG KIM APARTMENT,1816,CONDO,0,0,12,1982,F,D11,309838,Bassein Road,CHONG KIM APARTMENT,810,0,1,2011-05-12
BUKIT TIMAH MANSIONS,1674,CONDO,10,0,12,1992,F,D10,259715,Bukit Timah Road,BUKIT TIMAH MANSIONS,854,0,1,2005-12-28
ARANG COURT,1757,APT,48,0,1,1985,F,D13,359968,Arang Drive,ARANG COURT,1225,0,1,2000-02-01
NAUNG COURT,2238,CONDO,20,4,1,1982,L999,D19,537670,Jalan Naung,NAUNG COURT,407,0,1,2010-09-16
TELOK KURAU COURT,673,TERRA,17,4,12,1970,F,D15,423000,Telok Kurau Road,TELOK KURAU COURT,458,0.59,1,2006-12-13
